index,title,publishedAt,channelName,duration,viewCount,likeCount,commentCount,comments,lang,translated_comments,sentiment,sentiment_summary
yaalrKX-cXA,World of WarcraftFury Warrior POV,2025-09-15,James (Lizzieag),252.0,2.0,0.0,0.0,[],[],[],[],0
50CJ0usJA_M,World of WarcraftFury Warrior POV,2025-09-15,James (Lizzieag),272.0,1.0,0.0,0.0,[],[],[],[],0
TeLWpF_A0PM,Asara y sus aventuras,2025-09-15,Rebelwade77Games,639.0,2.0,0.0,0.0,[],[],[],[],0
ryGLfGO7ocM,Grinding rogue too 60. [NIGHTSLAYER PVP SERVER],2025-09-15,Nvthis,635.0,2.0,0.0,0.0,[],[],[],[],0
QeSmhZmR1p0,New World,2025-09-15,xxBODYCOUNTxx,1020.0,0.0,0.0,0.0,[],[],[],[],0
ED2dtxfT7aI,World of Warcraft The War Within! Mythic`s+! Прямой эфир через restrea Прямой эфир через restream.su,2025-09-15,iScrew Gaming,543.0,2.0,0.0,0.0,[],[],[],[],0
EmQbKX-v9U4,World of Warcraft The War Within! Mythic`s+! Прямой эфир через restrea Прямой эфир через restream.su,2025-09-15,iScrew Gaming,350.0,2.0,0.0,0.0,[],[],[],[],0
uV33_37lXFY,Leveling and more | World of Warcraft,2025-09-15,Swifvente,514.0,2.0,0.0,0.0,[],[],[],[],0
ryk2FV9YaOg,Winarchik играет в ПВП :) | Season 3 The War Within 11.2 | World Of Warcraft | PvP,2025-09-15,WiNaRchiK,264.0,0.0,0.0,0.0,[],[],[],[],0
7AMG-ugCKgQ,RBG &quot;WoukZieu&quot; Season 3 The War Within  11.2 | World Of Warcraft | PvP (играем РБГ),2025-09-15,WiNaRchiK,596.0,5.0,0.0,0.0,[],[],[],[],0
ELhRqoLXF88,RBG &quot;WoukZieu&quot; Season 3 The War Within  11.2 | World Of Warcraft | PvP (играем РБГ),2025-09-15,WiNaRchiK,1173.0,3.0,0.0,0.0,[],[],[],[],0
KXr317FkOjs,"Maya streams: World of Warcraft: The War Within, Season 3!",2025-09-15,Mayamoo,827.0,5.0,1.0,0.0,[],[],[],[],0
3RYAE9YyzQs,Disc Priest 11.2 -  PVP Arena Push 2400 shuffle 9/14/25,2025-09-15,WoWJutsu,1063.0,5.0,0.0,0.0,[],[],[],[],0
WX3GoLPzXGw,World of Warcraft | Mage | Vsun,2025-09-15,V Sun,670.0,0.0,0.0,0.0,[],[],[],[],0
vgp3M7rRuR4,🔥 Haciendo SEMANALES + Abismos en The War Within ⚔️ ¡A por la Bóveda ÉPICA! 🔥,2025-09-14,Wallside,329.0,28.0,0.0,0.0,[],[],[],[],0
F6kMAxxL-78,Let&#39;s Play World of Warcraft Gearing up Death Knight! (Portrait),2025-09-14,JoseG,927.0,38.0,2.0,0.0,[],[],[],[],0
N5nrYlUT8II,Let&#39;s Play World of Warcraft Gearing up Death Knight!,2025-09-14,JoseG,928.0,4.0,0.0,0.0,[],[],[],[],0
1GcBG-lhnt8,World of Warcraft,2025-09-14,Thunderkiing,250.0,0.0,0.0,0.0,[],[],[],[],0
HIjVNo7nQyg,World Of Warcraft MOP,2025-09-14,Clarence Turpin,376.0,12.0,0.0,0.0,[],[],[],[],0
bWsXKaYwsv4,🐢 AMBERSHIRE - Elfo Warro - Vamos con todo antes de que muera !,2025-09-14,Keewi,384.0,4.0,0.0,0.0,[],[],[],[],0
NS9ahJ4IfBs,🐢 AMBERSHIRE - Elfo Warro - Vamos con todo antes de que muera !,2025-09-14,Keewi,327.0,1.0,0.0,0.0,[],[],[],[],0
9EznQRC0L-M,World of Warcraft 直播,2025-09-14,BiYuan Liu,1115.0,0.0,0.0,0.0,[],[],[],[],0
mzzhnX1OrLQ,WoW Vanilla Warmane Troll Hunter L60,2025-09-14,M A Azri MS,334.0,1.0,0.0,0.0,[],[],[],[],0
DB_E82RovsI,World of Warcraft: Ret Paladin: PVP Season 3: Solo Shuffle: dominating @ 1674,2025-09-14,3jsa7,907.0,0.0,0.0,0.0,[],[],[],[],0
0MqmTkWcFig,World of Warcraft: Ret Paladin: PVP Season 3: Solo Shuffle: dominating @ 1674 (Portrait),2025-09-14,3jsa7,906.0,0.0,0.0,0.0,[],[],[],[],0
7vl7CPeMZVc,World Of Warcraft Ruby sanctum 25 Heroic,2025-09-14,Yozdzhan Sherif,781.0,2.0,0.0,0.0,[],[],[],[],0
auLfBhrXz9o,World of warctaft keys,2025-09-14,Natte_za,259.0,2.0,0.0,0.0,[],[],[],[],0
F8JCYUNwmxU,WOW - TWW S3 - SoloShuffle - Frost mage pov - Legend XP,2025-09-14,UnrelatedChannelName,798.0,4.0,0.0,0.0,[],[],[],[],0
NvAVAsHjIB4,【WoW WotLK】魔獸世界 巫妖王之怒 World of Warcraft Icecrown Citadel Point of View 冰冠城塞 Warmane Live Raid 250913,2025-09-14,CGC,908.0,3.0,0.0,0.0,[],[],[],[],0
lU7_yxttorw,RACING THE LAWSUIT: Turtle Wow Challenge before BLIZZARD Pulls the Plug,2025-09-13,Azeroth MeadHall,984.0,256.0,3.0,0.0,[],[],[],[],0
SxoVe_cpqLc,⚔️ Live in Azeroth! Exploring Season 3 | WoW: The War Within 🌌,2025-09-13,tva_zoone,819.0,3.0,1.0,0.0,[],[],[],[],0
GfaB4GUOGu8,World of Warcraft | Item Lvl 615 Warlock | Hollow Knights Tomorrow,2025-09-13,Varnison_,883.0,0.0,0.0,0.0,[],[],[],[],0
qUY09m2Re5Q,World Of Warcraft MOP,2025-09-13,Clarence Turpin,313.0,10.0,0.0,0.0,[],[],[],[],0
LLNqa17_7qs,World of Warcraft Classic,2025-09-13,AVStreamStudio,819.0,0.0,0.0,0.0,[],[],[],[],0
7ArSyGnNqYs,world of warcraft,2025-09-13,Dimo_Saur,1190.0,3.0,0.0,0.0,[],[],[],[],0
8TcPGzhNdZA,WoW PvP | Rank 13 Warrior | Türkçe | World Of Warcraft Classic Anniversary | AQ40 !,2025-09-13,clientturqua,578.0,5.0,0.0,0.0,[],[],[],[],0
b7E-Huzf1b8,WoW PvP | Rank 13 Warrior | Türkçe | World Of Warcraft Classic Anniversary,2025-09-13,clientturqua,332.0,7.0,0.0,0.0,[],[],[],[],0
9KYcQdptkQs,[PULL Verbot] 🗡️ Dämonenjäger auf großer Tour 🔥 Lasst uns das Wochenende gemütlich ausklingen.,2025-09-13,RuneNomad,279.0,1.0,1.0,0.0,[],[],[],[],0
RdYVEy0KfZg,World of Warcraft Maps in PUBG Mobile!,2025-09-13,TX Mani YT,995.0,3.0,0.0,0.0,[],[],[],[],0
RhDYYs_9UoA,⚔️Spineshatter PvP Challenge⚔️ | Eine neue Reise beginnt! | Druiden-PvP Madness🌿,2025-09-13,Bischofenz,1029.0,3.0,0.0,0.0,[],[],[],[],0
e0fSzkM1Gpo,World Of Runescape (World Of Warcraft Meets Runescape),2025-09-13,Everything But Drama ,374.0,11.0,1.0,0.0,[],[],[],[],0
MDmXR0c4mFk,TWW - 11.7 Paladin PvP - World of Warcraft!,2025-09-13,Nythro's Cathedral,1142.0,6.0,0.0,0.0,[],[],[],[],0
qtBPuUpBzhI,World of Warcraft,2025-09-13,MICROBUSERO,960.0,1.0,0.0,0.0,[],[],[],[],0
_Vv205FnCsI,Beginner Streaming World of Warcraft,2025-09-12,Lucid,1066.0,1.0,0.0,0.0,[],[],[],[],0
_8fwf3ioWDs,WOW PVP Destro Lock,2025-09-12,TRACKUZA,641.0,87.0,0.0,0.0,[],[],[],[],0
GbHHPyYMdrU,Hpal Healing World of Warcraft,2025-09-12,Belmont,688.0,1.0,0.0,0.0,[],[],[],[],0
dC8dLIjTzX8,WoW WOTLK: PvP y PvE de la vieja escuela,2025-09-12,FORMAT,512.0,4.0,0.0,0.0,[],[],[],[],0
ODvk_Hm9jVI,Some PvP World Of Warcraft,2025-09-12,3GxNight,309.0,6.0,0.0,0.0,[],[],[],[],0
